S\C,Gestation,SkullWidth,SkullLength,BodyLength,Dental,Weight,SL-SW,BL-SL,ChrNo
Pti,1,1,1,2,1,1,4,3,1
Ple,1,2,1,1,1,1,1,1,1
Ppa,1,2,2,2,1,2,4,2,1
Pon,1,2,1,2,1,1,4,1,1
Pun,1,2,2,2,1,2,4,3,1
Nne,1,2,2,3,2,3,3,4,1
Pco,1,2,2,2,1,2,4,2,1
Pya,3,3,3,3,1,4,3,2,1
Aju,1,2,2,2,1,2,4,1,1
Lpa,3,3,2,3,1,3,4,4,2
Lwi,2,3,3,3,1,4,4,3,2
Lgu,3,3,3,4,4,4,3,4,2
Lge,3,3,3,3,1,4,4,4,2
Lti,3,3,3,2,1,4,1,4,2
Lco,2,3,3,3,1,4,unknown,unknown,2
Lja,2,3,3,3,3,4,unknown,unknown,2
Oma,3,3,3,3,3,4,4,3,1
Ppl,5,unknown,unknown,3,1,4,unknown,unknown,1
Pvi,4,3,2,3,1,3,4,3,1
Pru,6,3,3,4,1,4,4,4,1
Pbe,4,3,3,3,1,4,4,3,1
Cse,3,3,2,3,1,3,1,3,2
Cca,2,3,2,3,1,3,4,2,1
Cau,3,3,2,3,1,3,4,3,1
Fsi,4,3,3,3,1,4,4,2,1
Fca,4,3,3,3,1,4,4,4,1
Fli,4,3,3,4,1,4,4,4,1
Fch,4,3,2,3,2,4,3,4,1
Fma,4,3,3,4,1,4,4,4,1
Fni,4,3,3,4,1,4,4,4,1
Fbi,4,unknown,unknown,3,unknown,4,unknown,unknown,unknown
Lca,4,3,2,2,1,3,4,3,1
Lyp,4,3,2,3,1,3,4,3,1
Lly,3,2,2,3,3,3,4,3,1
Lru,4,3,2,2,3,3,4,1,1
Pte,2,3,2,3,2,4,4,4,1
Pba,unknown,3,unknown,3,unknown,4,unknown,unknown,unknown
Pma,3,3,3,3,1,4,4,3,1
